,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Region,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
21032,32678337,02/14/2016 01:11:55 PM,02/14/2016 01:54:33 PM,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10028,,,,,,,,NEW YORK,,Closed,02/28/2016 01:11:55 PM,The reported condition was inspected and a summons has been issued.,02/14/2016 01:54:33 PM,08 MANHATTAN,MANHATTAN,,,Carl Schurz Park,MANHATTAN,,NEW YORK,NY,10028,,,,,,,,,,,,,,,
97395,32588243,02/02/2016 09:18:04 AM,02/11/2016 03:17:19 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,Beach,11235,,,,,,,,BROOKLYN,,Closed,02/05/2016 09:18:04 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/11/2016 03:17:19 PM,15 BROOKLYN,BROOKLYN,,,Beach - Manhattan,BROOKLYN,,BROOKLYN,NY,11235,N,,,,,,,,,,,,,,
91313,32591195,02/03/2016 09:29:58 AM,02/05/2016 12:13:42 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Broken Glass,Park,10002,,,,,,,,NEW YORK,,Closed,02/06/2016 09:29:58 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/05/2016 12:13:42 PM,Unspecified MANHATTAN,MANHATTAN,,,Coleman Playground,MANHATTAN,,NEW YORK,NY,10002,N,,,,,,,,,,,,,,
91399,32586901,02/03/2016 09:18:19 AM,02/03/2016 09:54:37 AM,DPR,Department of Parks and Recreation,DPR Internal,Aided/Injury,Beach,10465,,,PELHAM BAY PARK,,,,,BRONX,,Closed,02/17/2016 09:18:19 AM,The injured person has been transported to a hospital.,02/03/2016 09:54:37 AM,Unspecified BRONX,BRONX,,,Beach - Orchard,BRONX,,BRONX,NY,10465,,,,,,,,,,,,,,,
695,32705613,02/16/2016 09:36:17 PM,,DPR,Department of Parks and Recreation,Maintenance or Facility,Hours of Operation,Recreation Center,11220,,,,,,,,BROOKLYN,,Open,02/19/2016 09:36:17 PM,The Department of Parks and Recreation usually requires 3 days to respond to this type of complaint. Please note your Service Request number for future reference.,,07 BROOKLYN,BROOKLYN,,,Recreation Center - Sunset Park,BROOKLYN,,BROOKLYN,NY,11220,N,,,,,,,,,,,,,,
84372,32601094,02/04/2016 11:28:09 AM,02/04/2016 11:54:59 AM,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11385,,,,,,,,RIDGEWOOD,,Closed,02/18/2016 11:28:09 AM,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",02/04/2016 11:54:59 AM,Unspecified QUEENS,QUEENS,,,Forest Park - Sobelsohn Park,QUEENS,,RIDGEWOOD,NY,11385,N,,,,,,,,,,,,,,
85421,32599535,02/04/2016 09:20:45 AM,02/04/2016 10:06:46 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10012,,,,,,,,NEW YORK,,Closed,02/18/2016 09:20:45 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/04/2016 10:06:46 AM,Unspecified MANHATTAN,MANHATTAN,,,Mercer Playground,MANHATTAN,,NEW YORK,NY,10012,,,,,,,,,,,,,,,
83910,32600104,02/04/2016 12:26:14 PM,02/04/2016 01:09:33 PM,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11215,,,,,,,,BROOKLYN,,Closed,02/18/2016 12:26:14 PM,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,02/04/2016 01:09:33 PM,Unspecified BROOKLYN,BROOKLYN,,,Prospect Park - Lincoln Road Playground,BROOKLYN,,BROOKLYN,NY,11215,N,,,,,,,,,,,,,,
85415,32605192,02/04/2016 09:21:18 AM,02/05/2016 12:10:21 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Broken Glass,Park,10002,,,,,,,,NEW YORK,,Closed,02/07/2016 09:21:18 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/05/2016 12:10:21 PM,Unspecified MANHATTAN,MANHATTAN,,,Coleman Playground,MANHATTAN,,NEW YORK,NY,10002,N,,,,,,,,,,,,,,
85195,32605709,02/04/2016 09:47:13 AM,02/04/2016 10:44:24 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10462,,,,,,,,BRONX,,Closed,02/18/2016 09:47:13 AM,The reported condition was inspected and a summons has been issued.,02/04/2016 10:44:24 AM,Unspecified BRONX,BRONX,,,Van Cortlandt Park,BRONX,,BRONX,NY,10462,,,,,,,,,,,,,,,
84312,32605455,02/04/2016 11:34:44 AM,02/05/2016 12:31:24 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,10023,,,,,,,,NEW YORK,,Closed,02/18/2016 11:34:44 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/05/2016 12:31:24 PM,07 MANHATTAN,MANHATTAN,,,Riverside Park,MANHATTAN,,NEW YORK,NY,10023,N,,,,,,,,,,,,,,
84236,32604596,02/04/2016 11:43:32 AM,02/05/2016 12:23:40 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,10002,,,,,,,,NEW YORK,,Closed,02/18/2016 11:43:32 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/05/2016 12:23:40 PM,03 MANHATTAN,MANHATTAN,,,William H Seward Park,MANHATTAN,,NEW YORK,NY,10002,N,,,,,,,,,,,,,,
15780,32694700,02/15/2016 07:48:27 AM,,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11215,,,,,,,,BROOKLYN,,Assigned,02/29/2016 07:48:27 AM,The Department of Parks and Recreation usually requires 14 days to respond to this type of complaint. Please note your Service Request number for future reference.,,Unspecified BROOKLYN,BROOKLYN,,,Prospect Park,BROOKLYN,,BROOKLYN,NY,11215,N,,,,,,,,,,,,,,
84216,32603019,02/04/2016 11:46:08 AM,02/05/2016 12:29:13 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,10023,,,,,,,,NEW YORK,,Closed,02/18/2016 11:46:08 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/05/2016 12:29:13 PM,07 MANHATTAN,MANHATTAN,,,Riverside Park,MANHATTAN,,NEW YORK,NY,10023,N,,,,,,,,,,,,,,
85478,32601874,02/04/2016 09:12:58 AM,02/08/2016 09:22:27 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,10471,,,,,PALISADES AVENUE,SPAULDING LANE,INTERSECTION,BRONX,,Closed,02/07/2016 09:12:58 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/08/2016 09:22:27 AM,08 BRONX,BRONX,1007803.0,266104.0,Riverdale Park,BRONX,,BRONX,NY,10463,N,,,,,,,,,,,,40.897036271827346,-73.9148054263612,"(40.89703627182735, -73.9148054263612)"
97474,32586720,02/02/2016 09:07:42 AM,02/02/2016 10:00:33 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,10023,,,,,,,,NEW YORK,,Closed,02/16/2016 09:07:42 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/02/2016 10:00:33 AM,07 MANHATTAN,MANHATTAN,,,Riverside Park - Skate Park,MANHATTAN,,NEW YORK,NY,10023,N,,,,,,,,,,,,,,
91338,32585055,02/03/2016 09:24:07 AM,02/05/2016 12:11:25 PM,DPR,Department of Parks and Recreation,Animal in a Park,Animal Waste,Park,10002,,,,,,,,NEW YORK,,Closed,02/17/2016 09:24:07 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/05/2016 12:11:25 PM,Unspecified MANHATTAN,MANHATTAN,,,Coleman Playground,MANHATTAN,,NEW YORK,NY,10002,N,,,,,,,,,,,,,,
111386,32569490,01/30/2016 09:26:13 AM,01/30/2016 09:49:44 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10012,,,,,,,,NEW YORK,,Closed,02/13/2016 09:26:13 AM,The condition was determined to be an emergency issue and NYPD was notified.,01/30/2016 09:49:44 AM,02 MANHATTAN,MANHATTAN,,,Mercer St. Playground,MANHATTAN,,NEW YORK,NY,10012,,,,,,,,,,,,,,,
84840,32599902,02/04/2016 10:33:54 AM,02/04/2016 10:56:11 AM,DPR,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,10458,,,,,,,,BRONX,,Closed,02/18/2016 10:33:54 AM,The reported condition was inspected and a report has been filed.,02/04/2016 10:56:11 AM,05 BRONX,BRONX,,,Slattery Playground,BRONX,,BRONX,NY,10458,,,,,,,,,,,,,,,
91599,32590381,02/03/2016 08:48:32 AM,02/09/2016 07:26:04 AM,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Park,10023,,,,,,,,NEW YORK,,Closed,02/11/2016 11:23:50 AM,The Department of Parks and Recreation has corrected the condition.,02/09/2016 07:26:04 AM,07 MANHATTAN,MANHATTAN,,,Riverside Park - Hippo Playground,MANHATTAN,,NEW YORK,NY,10023,N,,,,,,,,,,,,,,
15801,32694344,02/15/2016 07:44:54 AM,02/15/2016 08:13:25 AM,DPR,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,10002,,,,,,,,NEW YORK,,Closed,02/29/2016 07:44:54 AM,The injured person has been transported to a hospital.,02/15/2016 08:13:25 AM,03 MANHATTAN,MANHATTAN,,,Sara D Roosevelt Park,MANHATTAN,,NEW YORK,NY,10002,,,,,,,,,,,,,,,
84624,32604002,02/04/2016 11:01:19 AM,02/10/2016 10:57:04 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,11106,,,,,,,,ASTORIA,,Closed,02/07/2016 11:01:19 AM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/10/2016 10:57:04 AM,01 QUEENS,QUEENS,,,Dutch Kills Playground - PS 112,QUEENS,,ASTORIA,NY,11106,N,,,,,,,,,,,,,,
99079,32575893,02/01/2016 09:14:51 PM,02/02/2016 12:21:04 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Recreation Center,11691,18-48 CORNAGA AVENUE,CORNAGA AVENUE,BEACH 19 STREET,MORSE COURT,,,,FAR ROCKAWAY,,Closed,02/15/2016 09:14:51 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/02/2016 12:21:04 PM,14 QUEENS,QUEENS,1053386.0,158811.0,Recreation Center - Sorrentino,QUEENS,,FAR ROCKAWAY,NY,11691,,,,,,,,,,,,,40.60230613440361,-73.7510288345036,"(40.602306134403605, -73.7510288345036)"
490,32698250,02/16/2016 10:20:11 PM,,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Park,11426,,,,,,,,BELLEROSE,,Open,02/21/2016 10:20:11 PM,"The Department of Parks and Recreation usually requires 5 days to inspect this issue and may take up to 30 days to resolve it, if warranted.  Please note your Service Request number for future reference.",,13 QUEENS,QUEENS,,,Alley Pond Park,QUEENS,,BELLEROSE,NY,11426,N,,,,,,,,,,,,,,
19788,32679909,02/14/2016 03:40:10 PM,02/14/2016 03:48:58 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Graffiti or Vandalism,Park,11375,,,,,,,,FOREST HILLS,,Closed,02/17/2016 03:40:10 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/14/2016 03:48:58 PM,Unspecified QUEENS,QUEENS,,,Flushing Meadows Corona Park,QUEENS,,FOREST HILLS,NY,11375,,,,,,,,,,,,,,,
19812,32682252,02/14/2016 03:36:16 PM,,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Golf,10463,VAN CORTLAND PARK,VAN CORTLAND PARK,WEST 252 STREET,WEST 251 STREET,,,,BRONX,,Open,02/28/2016 03:36:16 PM,The Department of Parks and Recreation usually requires 14 days to respond to this type of complaint. Please note your Service Request number for future reference.,,Unspecified BRONX,BRONX,1014027.0,265684.0,Golf Course - Van Cortlandt,BRONX,,BRONX,NY,10463,N,,,,,,,,,,,,40.89586469711286,-73.89229421538576,"(40.89586469711286, -73.89229421538577)"
93742,32583970,02/02/2016 06:20:17 PM,02/02/2016 07:05:21 PM,DPR,Department of Parks and Recreation,DPR Internal,Aided/Injury,Recreation Center,10455,450 ST ANN'S AVENUE,ST ANN'S AVENUE,EAST 146 STREET,EAST 145 STREET,,,,BRONX,,Closed,02/16/2016 06:20:17 PM,The injured person has refused medical attention.,02/02/2016 07:05:22 PM,01 BRONX,BRONX,1007980.0,235112.0,Recreation Center - St. Mary's,BRONX,,BRONX,NY,10455,,,,,,,,,,,,,40.811972042797905,-73.91427489903427,"(40.811972042797905, -73.91427489903427)"
5185,32701646,02/16/2016 12:37:27 PM,,DPR,Department of Parks and Recreation,Maintenance or Facility,Graffiti or Vandalism,Park,10039,,,,,,,,NEW YORK,,Open,02/19/2016 12:37:27 PM,The Department of Parks and Recreation usually requires 3 days to respond to this type of complaint. Please note your Service Request number for future reference.,,12 MANHATTAN,MANHATTAN,,,Highbridge Park - Wallenberg Playground,MANHATTAN,,NEW YORK,NY,10039,N,,,,,,,,,,,,,,
5184,32695486,02/16/2016 12:37:32 PM,02/16/2016 01:08:49 PM,DPR,Department of Parks and Recreation,DPR Internal,Locker Break-in/Incident,Recreation Center,10038,80 CATHERINE STREET,CATHERINE STREET,CHERRY STREET,MONROE STREET,,,,NEW YORK,,Closed,03/01/2016 12:37:32 PM,The reported condition was inspected and a report has been filed.,02/16/2016 01:08:49 PM,03 MANHATTAN,MANHATTAN,985190.0,198214.0,Recreation Center - Alfred E. Smith,MANHATTAN,,NEW YORK,NY,10038,,,,,,,,,,,,,40.71072834340573,-73.99660938948213,"(40.710728343405734, -73.99660938948212)"
5146,32700226,02/16/2016 12:42:51 PM,,DPR,Department of Parks and Recreation,Maintenance or Facility,Graffiti or Vandalism,Park,10040,,,,,,,,NEW YORK,,Open,02/19/2016 12:42:51 PM,The Department of Parks and Recreation usually requires 3 days to respond to this type of complaint. Please note your Service Request number for future reference.,,12 MANHATTAN,MANHATTAN,,,Gorman Memorial Park,MANHATTAN,,NEW YORK,NY,10040,N,,,,,,,,,,,,,,
11040,32690646,02/15/2016 04:31:26 PM,02/15/2016 11:56:14 PM,DPR,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,10011,,,,,,,,NEW YORK,,Closed,02/29/2016 04:31:26 PM,The injured person has been transported to a hospital.,02/15/2016 11:56:14 PM,08 MANHATTAN,MANHATTAN,,,Hudson River Park,MANHATTAN,,NEW YORK,NY,10011,,,,,,,,,,,,,,,
105062,32570460,01/31/2016 08:37:12 PM,02/02/2016 10:07:44 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Park,10009,,,,,,,,NEW YORK,,Closed,02/07/2016 08:37:12 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/02/2016 10:07:44 AM,03 MANHATTAN,MANHATTAN,,,Dry Dock Playground,MANHATTAN,,NEW YORK,NY,10009,N,,,,,,,,,,,,,,
19749,32681448,02/14/2016 03:45:02 PM,02/16/2016 11:54:35 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11208,,,,,,,,BROOKLYN,,Closed,02/28/2016 03:45:02 PM,No action was taken because the Department of Parks and Recreation determined that the issue reported was out of its jurisdiction.,02/16/2016 11:54:35 AM,Unspecified BROOKLYN,BROOKLYN,,,Bushwick Ballfields,BROOKLYN,,BROOKLYN,NY,11208,N,,,,,,,,,,,,,,
95541,32583472,02/02/2016 01:35:34 PM,02/02/2016 02:10:58 PM,DPR,Department of Parks and Recreation,DPR Internal,Aided/Injury,Park,11373,,,,,,,,ELMHURST,,Closed,02/16/2016 01:35:34 PM,The injured person has been transported to a hospital.,02/02/2016 02:10:58 PM,04 QUEENS,QUEENS,,,C C Moore Homestead Park,QUEENS,,ELMHURST,NY,11373,,,,,,,,,,,,,,,
5606,32696268,02/16/2016 11:52:14 AM,,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Park,10009,,,,,,,,NEW YORK,,Open,03/01/2016 11:52:14 AM,The Department of Parks and Recreation usually requires 14 days to respond to this type of complaint. Please note your Service Request number for future reference.,,03 MANHATTAN,MANHATTAN,,,Mckinley Playground,MANHATTAN,,NEW YORK,NY,10009,N,,,,,,,,,,,,,,
95664,32588979,02/02/2016 01:15:57 PM,02/05/2016 09:54:03 AM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,10004,,,,,,,,NEW YORK,,Closed,02/16/2016 01:15:57 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/05/2016 09:54:03 AM,01 MANHATTAN,MANHATTAN,,,Battery Park,MANHATTAN,,NEW YORK,NY,10004,N,,,,,,,,,,,,,,
76900,32606931,02/05/2016 02:23:09 PM,02/05/2016 06:33:24 PM,DPR,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,10001,,,,,,,,NEW YORK,,Closed,02/10/2016 02:23:09 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/05/2016 06:33:25 PM,04 MANHATTAN,MANHATTAN,,,Chelsea Park,MANHATTAN,,NEW YORK,NY,10001,N,,,,,,,,,,,,,,
13332,32687563,02/15/2016 12:00:57 PM,02/15/2016 12:57:15 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10012,,,,,,,,NEW YORK,,Closed,02/29/2016 12:00:57 PM,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",02/15/2016 12:57:15 PM,Unspecified MANHATTAN,MANHATTAN,,,Mercer Playground,MANHATTAN,,NEW YORK,NY,10012,,,,,,,,,,,,,,,
104410,32573018,02/01/2016 12:32:48 AM,02/01/2016 07:46:05 AM,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10034,,,,,,,,NEW YORK,,Closed,02/15/2016 12:32:48 AM,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,02/01/2016 07:46:05 AM,12 MANHATTAN,MANHATTAN,,,Inwood Hill Park - Indian Road Playground,MANHATTAN,,NEW YORK,NY,10034,N,,,,,,,,,,,,,,
104418,32573682,02/01/2016 12:28:08 AM,02/01/2016 07:43:56 AM,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10034,,,,,,,,NEW YORK,,Closed,02/15/2016 12:28:08 AM,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,02/01/2016 07:43:56 AM,12 MANHATTAN,MANHATTAN,,,Inwood Hill Park - The Clove,MANHATTAN,,NEW YORK,NY,10034,N,,,,,,,,,,,,,,
95320,32584039,02/02/2016 02:01:45 PM,02/04/2016 04:31:55 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Park,11204,,,,,,,,BROOKLYN,,Closed,02/09/2016 02:01:45 PM,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,02/04/2016 04:31:55 PM,12 BROOKLYN,BROOKLYN,,,Gravesend Park,BROOKLYN,,BROOKLYN,NY,11204,N,,,,,,,,,,,,,,
104422,32572499,02/01/2016 12:24:37 AM,02/01/2016 07:41:45 AM,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10034,,,,,,,,NEW YORK,,Closed,02/15/2016 12:24:37 AM,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,02/01/2016 07:41:45 AM,12 MANHATTAN,MANHATTAN,,,Inwood Hill Park - Nature Center,MANHATTAN,,NEW YORK,NY,10034,N,,,,,,,,,,,,,,
104433,32573645,02/01/2016 12:18:03 AM,02/01/2016 07:39:31 AM,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10034,,,,,,,,NEW YORK,,Closed,02/15/2016 12:18:03 AM,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,02/01/2016 07:39:31 AM,12 MANHATTAN,MANHATTAN,,,Inwood Hill Park - Nature Center,MANHATTAN,,NEW YORK,NY,10034,N,,,,,,,,,,,,,,
104405,32570831,02/01/2016 12:36:55 AM,02/01/2016 12:37:10 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Smoking,Park,10034,,,,,,,,NEW YORK,,Closed,02/15/2016 12:36:55 AM,The Department of Parks and Recreation has limited resources to follow up on this complaint. Your complaint will help the City schedule patrols and target particular areas for enforcement.,02/01/2016 12:37:11 AM,12 MANHATTAN,MANHATTAN,,,Inwood Hill Park - Indian Road Playground,MANHATTAN,,NEW YORK,NY,10034,N,,,,,,,,,,,,,,
104285,32580459,02/01/2016 02:40:10 AM,02/08/2016 03:26:46 PM,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11201,,,,,,,,BROOKLYN,,Closed,02/15/2016 02:40:10 AM,Work to correct the reported condition has been deferred because of seasonal considerations and will be corrected as soon as possible.,02/08/2016 03:26:46 PM,02 BROOKLYN,BROOKLYN,,,Fort Greene Park,BROOKLYN,,BROOKLYN,NY,11201,,,,,,,,,,,,,,,
104356,32572095,02/01/2016 01:06:48 AM,02/01/2016 01:07:16 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Smoking,Park,10034,,,,,,,,NEW YORK,,Closed,02/15/2016 01:06:48 AM,The Department of Parks and Recreation has limited resources to follow up on this complaint. Your complaint will help the City schedule patrols and target particular areas for enforcement.,02/01/2016 01:07:16 AM,12 MANHATTAN,MANHATTAN,,,Inwood Hill Park - Nature Center,MANHATTAN,,NEW YORK,NY,10034,N,,,,,,,,,,,,,,
104360,32573295,02/01/2016 01:02:53 AM,02/01/2016 01:03:05 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Smoking,Park,10034,,,,,,,,NEW YORK,,Closed,02/15/2016 01:02:53 AM,The Department of Parks and Recreation has limited resources to follow up on this complaint. Your complaint will help the City schedule patrols and target particular areas for enforcement.,02/01/2016 01:03:05 AM,12 MANHATTAN,MANHATTAN,,,Inwood Hill Park - Indian Road Playground,MANHATTAN,,NEW YORK,NY,10034,N,,,,,,,,,,,,,,
